lib	scope	class	typemark	name	category	3.0	3.1	3.2	3.3	3.4	4.0	4.1	pattern	first_present
socket	stdlib	Socket	.	gethostbyname	no-method	o	o	o	o	o	o	X	new-only	3.0
socket	stdlib	Socket::Ifaddr	#	vhid	no-method	X	X	X	X	X	X	X	all	3.0
socket	stdlib	TCPSocket	.	gethostbyname	no-method	o	o	o	o	o	o	X	new-only	3.0
yaml/dbm	stdlib	YAML::DBM	#	[]	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	[]=	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	delete	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	delete_if	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	each	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	each_pair	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	each_value	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	fetch	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	has_value?	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	index	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	invert	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	key	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	reject	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	replace	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	select	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	shift	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	store	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	to_a	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	to_hash	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	update	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	values	no-class	?	?	?	?	X	X	X	all	3.0
yaml/dbm	stdlib	YAML::DBM	#	values_at	no-class	?	?	?	?	X	X	X	all	3.0
zlib	stdlib	Zlib::GzipFile	#	path	no-method	X	X	X	X	X	X	X	all	3.0
