bucket	lib	class	type	name	3.03.13.23.33.44.0
always-ng	rss	RSS::SyndicationModel	#	sy_updateFrequency	XXXXXX
always-ng	rss	RSS::SyndicationModel	#	sy_updateFrequency=	XXXXXX
always-ng	rss	RSS::SyndicationModel	#	sy_updatePeriod	XXXXXX
always-ng	rss	RSS::SyndicationModel	#	sy_updatePeriod=	XXXXXX
always-ng	rss	RSS::TaxonomyTopicModel	#	taxo_topic	XXXXXX
always-ng	rss	RSS::TaxonomyTopicModel	#	taxo_topic=	XXXXXX
always-ng	rss	RSS::TaxonomyTopicsModel	#	taxo_topics	XXXXXX
always-ng	rubygems	Gem	::	DIRECTORIES	XXXXXX
always-ng	rubygems	Gem	::	RubyGemsPackageVersion	XXXXXX
always-ng	rubygems	Gem	.#	set_home	XXXXXX
always-ng	rubygems	Gem	.#	set_paths	XXXXXX
always-ng	rubygems	Gem	.#	source_index	XXXXXX
always-ng	rubygems	Gem::LoadError	#	version_requirement	XXXXXX
always-ng	rubygems	Gem::LoadError	#	version_requirement=	XXXXXX
always-ng	rubygems	Gem::QuickLoader	::	GemPaths	CCCCCC
always-ng	rubygems	Gem::QuickLoader	::	GemVersions	CCCCCC
always-ng	rubygems	Gem::QuickLoader	#	calculate_integers_for_gem_version	CCCCCC
always-ng	rubygems	Gem::QuickLoader	#	const_missing	CCCCCC
always-ng	rubygems	Gem::QuickLoader	.	load_full_rubygems_library	CCCCCC
always-ng	rubygems	Gem::QuickLoader	#	method_missing	CCCCCC
always-ng	rubygems	Gem::QuickLoader	#	push_all_highest_version_gems_on_load_path	CCCCCC
always-ng	rubygems	Gem::QuickLoader	#	push_gem_version_on_load_path	CCCCCC
always-ng	rubygems/commands/build_command	Gem::Commands::BuildCommand	#	load_gemspecs	XXXXXX
always-ng	rubygems/commands/build_command	Gem::Commands::BuildCommand	#	yaml?	XXXXXX
always-ng	rubygems/commands/dependency_command	Gem::Commands::DependencyCommand	#	find_gems	XXXXXX
always-ng	rubygems/commands/update_command	Gem::Commands::UpdateCommand	#	do_rubygems_update	XXXXXX
always-ng	rubygems/commands/which_command	Gem::Commands::WhichCommand	::	EXT	XXXXXX
always-ng	rubygems/commands/which_command	Gem::Commands::WhichCommand	#	gem_paths	XXXXXX
always-ng	rubygems/config_file	Gem::ConfigFile	::	DEFAULT_BENCHMARK	XXXXXX
always-ng	rubygems/config_file	Gem::ConfigFile	#	benchmark	XXXXXX
always-ng	rubygems/config_file	Gem::ConfigFile	#	benchmark=	XXXXXX
always-ng	rubygems/defaults	Gem	.	default_system_source_cache_dir	XXXXXX
always-ng	rubygems/defaults	Gem	.	default_user_source_cache_dir	XXXXXX
always-ng	rubygems/dependency	Gem::Dependency	#	version_requirements	XXXXXX
always-ng	rubygems/dependency	Gem::Dependency	#	version_requirements=	XXXXXX
always-ng	rubygems/dependency_installer	Gem::DependencyInstaller	#	find_spec_by_name_and_version	XXXXXX
always-ng	rubygems/dependency_installer	Gem::DependencyInstaller	#	gather_dependencies	XXXXXX
always-ng	rubygems/dependency_installer	Gem::DependencyInstaller	#	gems_to_install	XXXXXX
always-ng	rubygems/dependency_list	Gem::DependencyList	.	from_source_index	XXXXXX
always-ng	rubygems/indexer	Gem::Indexer	#	abbreviate	XXXrrr
always-ng	rubygems/indexer	Gem::Indexer	#	collect_specs	XXXrrr
always-ng	rubygems/indexer	Gem::Indexer	#	sanitize	XXXrrr
always-ng	rubygems/indexer	Gem::Indexer	#	sanitize_string	XXXrrr
always-ng	rubygems/installer	Gem::Installer	.	home_install_warning	XXXXXX
always-ng	rubygems/installer	Gem::Installer	.	home_install_warning=	XXXXXX
always-ng	rubygems/package	Gem::FileOperations	.	new	CCCCCC
always-ng	rubygems/package	Gem::Package	.	pack	XXXXXX
always-ng	rubygems/security	Gem::Security	::	OPT	XXXXXX
always-ng	rubygems/security	Gem::Security	.	add_trusted_cert	XXXXXX
always-ng	rubygems/security	Gem::Security	.	build_cert	XXXXXX
always-ng	rubygems/security	Gem::Security	.	build_self_signed_cert	XXXXXX
always-ng	rubygems/security	Gem::Security	.	sign_cert	XXXXXX
always-ng	rubygems/security	Gem::Security	.	verify_trust_dir	XXXXXX
always-ng	rubygems/security	Gem::Security::Policy	.	trusted_cert_path	XXXXXX
always-ng	rubygems/security	Gem::Security::Policy	#	verify_gem	XXXXXX
always-ng	rubygems/server	Gem::Server	#	Marshal	X-----
always-ng	rubygems/server	Gem::Server	#	yaml	X-----
always-ng	rubygems/spec_fetcher	Gem::SpecFetcher	#	cache_dir	XXXXXX
always-ng	rubygems/spec_fetcher	Gem::SpecFetcher	#	dir	XXXXXX
always-ng	rubygems/spec_fetcher	Gem::SpecFetcher	#	fetch	XXXXXX
always-ng	rubygems/spec_fetcher	Gem::SpecFetcher	#	fetch_spec	XXXXXX
