#class	1.8.6	1.8.7	1.9.1	1.9.2	1.9.3	2.0.0	2.1	2.2	2.3	2.4	2.5	2.6	2.7	3.0	3.1	3.2	3.3	3.4	4.0	first	last	superclass
Errno::EISDIR	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EISNAM	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EKEYEXPIRED	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.2	4.0	SystemCallError
Errno::EKEYREJECTED	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.2	4.0	SystemCallError
Errno::EKEYREVOKED	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.2	4.0	SystemCallError
Errno::EL2HLT	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EL2NSYNC	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EL3HLT	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EL3RST	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ELIBACC	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ELIBBAD	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ELIBEXEC	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ELIBMAX	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ELIBSCN	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ELNRNG	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ELOOP	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EMEDIUMTYPE	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.2	4.0	SystemCallError
Errno::EMFILE	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
